,Title,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
0,Shingeki no Kyojin,"AoT, SnK",進撃の巨人,Attack on Titan,TV,25,Finished Airing,"Apr 7, 2013 to Sep 29, 2013",Spring 2013,Sundays at 01:58 (JST),"Production I.G , Dentsu , Mainichi Broadcasting System , Pony Canyon , Kodansha , Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action Action, Award Winning Award Winning, Drama Drama, Suspense Suspense","Gore Gore, Military Military, Survival Survival",Shounen Shounen,24 min. per ep.,R - 17+ (violence & profanity),"8.54 1 (scored by 2778396 2,778,396 users) 1 indicates a weighted score .",#109 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1,"3,918,102","171,055"
1,Fullmetal Alchemist: Brotherhood,"Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB",鋼の錬金術師 FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),"Aniplex , Square Enix , Mainichi Broadcasting System , Studio Moriken","Funimation , Aniplex of America",Bones,Manga,"Action Action, Adventure Adventure, Drama Drama, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,R - 17+ (violence & profanity),"9.09 1 (scored by 2106269 2,106,269 users) 1 indicates a weighted score .",#2 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#3,"3,321,679","224,722"
2,One Punch Man,"One Punch-Man, One-Punch Man, OPM",ワンパンマン,One Punch Man,TV,12,Finished Airing,"Oct 5, 2015 to Dec 21, 2015",Fall 2015,Mondays at 01:05 (JST),"TV Tokyo , Bandai Visual , Lantis , Asatsu DK , Banpresto , Good Smile Company , Shueisha , JR East Marketing & Communications",VIZ Media,Madhouse,Web manga,"Action Action, Comedy Comedy","Adult Cast Adult Cast, Parody Parody, Super Power Super Power",Seinen Seinen,24 min. per ep.,R - 17+ (violence & profanity),"8.50 1 (scored by 2220532 2,220,532 users) 1 indicates a weighted score .",#129 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#4,"3,195,626","64,214"
3,Sword Art Online,"S.A.O, SAO",ソードアート・オンライン,Sword Art Online,TV,25,Finished Airing,"Jul 8, 2012 to Dec 23, 2012",Summer 2012,Sundays at 00:00 (JST),"Aniplex , Genco , DAX Production , ASCII Media Works , Bandai Namco Games",Aniplex of America,A-1 Pictures,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy, Romance Romance","Love Polygon Love Polygon, Video Game Video Game",,23 min. per ep.,PG-13 - Teens 13 or older,"7.20 1 (scored by 2137462 2,137,462 users) 1 indicates a weighted score .",#3183 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#5,"3,055,714","68,496"
4,Boku no Hero Academia,,僕のヒーローアカデミア,My Hero Academia,TV,13,Finished Airing,"Apr 3, 2016 to Jun 26, 2016",Spring 2016,Sundays at 17:00 (JST),"Dentsu , Mainichi Broadcasting System , Movic , TOHO animation , Shueisha",Funimation,Bones,Manga,,"School School, Super Power Super Power",Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.87 1 (scored by 2053916 2,053,916 users) 1 indicates a weighted score .",#830 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#6,"3,001,386","53,507"
5,Kimetsu no Yaiba,Blade of Demon Destruction,鬼滅の刃,Demon Slayer: Kimetsu no Yaiba,TV,26,Finished Airing,"Apr 6, 2019 to Sep 28, 2019",Spring 2019,Saturdays at 23:30 (JST),"Aniplex , Shueisha",Aniplex of America,ufotable,Manga,"Action Action, Award Winning Award Winning, Fantasy Fantasy",,Shounen Shounen,23 min. per ep.,R - 17+ (violence & profanity),"8.47 1 (scored by 2071760 2,071,760 users) 1 indicates a weighted score .",#141 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#7,"2,997,466","91,079"
6,Naruto,NARUTO,ナルト,Naruto,TV,220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,Thursdays at 19:30 (JST),"TV Tokyo , Aniplex , Shueisha",VIZ Media,Pierrot,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.99 1 (scored by 1960795 1,960,795 users) 1 indicates a weighted score .",#634 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#8,"2,834,094","79,513"
7,Hunter x Hunter (2011),HxH (2011),HUNTER×HUNTER（ハンター×ハンター）,Hunter x Hunter,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),"VAP , Nippon Television Network , Shueisha",VIZ Media,Madhouse,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"9.04 1 (scored by 1746028 1,746,028 users) 1 indicates a weighted score .",#7 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#9,"2,806,664","208,992"
8,Tokyo Ghoul,"Tokyo Kushu, Toukyou Kushu, Toukyou Ghoul",東京喰種-トーキョーグール-,Tokyo Ghoul,TV,12,Finished Airing,"Jul 4, 2014 to Sep 19, 2014",Summer 2014,Fridays at 00:00 (JST),"Marvelous AQL , TC Entertainment , Shueisha",Funimation,Pierrot,Manga,"Action Action, Fantasy Fantasy, Horror Horror, Suspense Suspense","Gore Gore, Psychological Psychological",Seinen Seinen,24 min. per ep.,R - 17+ (violence & profanity),"7.79 1 (scored by 1854465 1,854,465 users) 1 indicates a weighted score .",#994 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#10,"2,802,433","50,296"
9,Shingeki no Kyojin Season 2,,進撃の巨人 Season2,Attack on Titan Season 2,TV,12,Finished Airing,"Apr 1, 2017 to Jun 17, 2017",Spring 2017,Saturdays at 22:00 (JST),"Production I.G , Dentsu , Mainichi Broadcasting System , Pony Canyon , Kodansha , Techno Sound , Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action Action, Drama Drama, Suspense Suspense","Gore Gore, Military Military, Survival Survival",Shounen Shounen,24 min. per ep.,R - 17+ (violence & profanity),"8.51 1 (scored by 1852797 1,852,797 users) 1 indicates a weighted score .",#127 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#12,"2,699,807","21,555"
10,Jujutsu Kaisen,"Sorcery Fight, JJK",呪術廻戦,Jujutsu Kaisen,TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",Fall 2020,Saturdays at 01:25 (JST),"Mainichi Broadcasting System , TOHO animation , Shueisha , dugout , Sumzap",VIZ Media,MAPPA,Manga,"Action Action, Award Winning Award Winning, Fantasy Fantasy",,Shounen Shounen,23 min. per ep.,R - 17+ (violence & profanity),"8.61 1 (scored by 1640274 1,640,274 users) 1 indicates a weighted score .",#83 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#14,"2,504,799","89,709"
11,Boku no Hero Academia 2nd Season,,僕のヒーローアカデミア,My Hero Academia Season 2,TV,25,Finished Airing,"Apr 1, 2017 to Sep 30, 2017",Spring 2017,Saturdays at 17:30 (JST),"Dentsu , Yomiuri Telecasting , Movic , Sony Music Entertainment , TOHO animation , Shueisha",Funimation,Bones,Manga,,"School School, Super Power Super Power",Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.09 1 (scored by 1713924 1,713,924 users) 1 indicates a weighted score .",#497 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#15,"2,503,626","17,052"
12,Naruto: Shippuuden,Naruto Hurricane Chronicles,-ナルト- 疾風伝,Naruto Shippuden,TV,500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",Winter 2007,Thursdays at 19:30 (JST),"TV Tokyo , Aniplex , KSS , Rakuonsha , TV Tokyo Music , Shueisha",VIZ Media,Pierrot,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.27 1 (scored by 1645506 1,645,506 users) 1 indicates a weighted score .",#290 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#16,"2,465,401","112,007"
