,Title,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
0,Fullmetal Alchemist: Brotherhood,"Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB",鋼の錬金術師 FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),"Aniplex , Square Enix , Mainichi Broadcasting System , Studio Moriken","Funimation , Aniplex of America",Bones,Manga,"Action Action, Adventure Adventure, Drama Drama, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,R - 17+ (violence & profanity),"9.09 1 (scored by 2106269 2,106,269 users) 1 indicates a weighted score .",#2 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#3,"3,321,679","224,722"
1,Sword Art Online,"S.A.O, SAO",ソードアート・オンライン,Sword Art Online,TV,25,Finished Airing,"Jul 8, 2012 to Dec 23, 2012",Summer 2012,Sundays at 00:00 (JST),"Aniplex , Genco , DAX Production , ASCII Media Works , Bandai Namco Games",Aniplex of America,A-1 Pictures,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy, Romance Romance","Love Polygon Love Polygon, Video Game Video Game",,23 min. per ep.,PG-13 - Teens 13 or older,"7.20 1 (scored by 2137462 2,137,462 users) 1 indicates a weighted score .",#3183 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#5,"3,055,714","68,496"
2,Naruto,NARUTO,ナルト,Naruto,TV,220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,Thursdays at 19:30 (JST),"TV Tokyo , Aniplex , Shueisha",VIZ Media,Pierrot,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.99 1 (scored by 1960795 1,960,795 users) 1 indicates a weighted score .",#634 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#8,"2,834,094","79,513"
3,Hunter x Hunter (2011),HxH (2011),HUNTER×HUNTER（ハンター×ハンター）,Hunter x Hunter,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),"VAP , Nippon Television Network , Shueisha",VIZ Media,Madhouse,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"9.04 1 (scored by 1746028 1,746,028 users) 1 indicates a weighted score .",#7 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#9,"2,806,664","208,992"
4,Naruto: Shippuuden,Naruto Hurricane Chronicles,-ナルト- 疾風伝,Naruto Shippuden,TV,500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",Winter 2007,Thursdays at 19:30 (JST),"TV Tokyo , Aniplex , KSS , Rakuonsha , TV Tokyo Music , Shueisha",VIZ Media,Pierrot,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.27 1 (scored by 1645506 1,645,506 users) 1 indicates a weighted score .",#290 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#16,"2,465,401","112,007"
5,One Piece,OP,ONE PIECE,One Piece,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,Sundays at 09:30 (JST),"Fuji TV , TAP , Shueisha","Funimation , 4Kids Entertainment",Toei Animation,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,24 min.,PG-13 - Teens 13 or older,"8.72 1 (scored by 1323788 1,323,788 users) 1 indicates a weighted score .",#50 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#19,"2,332,179","218,460"
6,Nanatsu no Taizai,,七つの大罪,The Seven Deadly Sins,TV,24,Finished Airing,"Oct 5, 2014 to Mar 29, 2015",Fall 2014,Sundays at 17:00 (JST),"Aniplex , Dentsu , Mainichi Broadcasting System , Kodansha , Movic",Funimation,A-1 Pictures,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.64 1 (scored by 1335314 1,335,314 users) 1 indicates a weighted score .",#1335 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#32,"2,044,933","19,303"
7,Sword Art Online II,"Phantom Bullet, SAO II, Sword Art Online 2, SAO 2",ソードアート・オンライン II,Sword Art Online II,TV,24,Finished Airing,"Jul 5, 2014 to Dec 20, 2014",Summer 2014,Mondays at 00:00 (JST),"Aniplex , Genco , ASCII Media Works , Bandai Namco Games",Aniplex of America,A-1 Pictures,Light novel,"Action Action, Adventure Adventure, Fantasy Fantasy, Romance Romance","Love Polygon Love Polygon, Video Game Video Game",,23 min. per ep.,PG-13 - Teens 13 or older,"6.71 1 (scored by 1327180 1,327,180 users) 1 indicates a weighted score .",#5592 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#36,"1,966,767","9,382"
8,Bleach,,BLEACH - ブリーチ -,Bleach,TV,366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",Fall 2004,Tuesdays at 18:00 (JST),"TV Tokyo , Aniplex , Dentsu , TV Tokyo Music , Shueisha",VIZ Media,Pierrot,Manga,"Action Action, Adventure Adventure, Fantasy Fantasy",,Shounen Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.94 1 (scored by 1123149 1,123,149 users) 1 indicates a weighted score .",#701 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#39,"1,951,936","73,114"
9,Kono Subarashii Sekai ni Shukufuku wo!,Give Blessings to This Wonderful World!,この素晴らしい世界に祝福を！,KonoSuba: God's Blessing on This Wonderful World!,TV,10,Finished Airing,"Jan 14, 2016 to Mar 17, 2016",Winter 2016,Thursdays at 01:05 (JST),"Half H.P Studio , Nippon Columbia , KlockWorx , Sony Music Communications , Toranoana , 81 Produce , Kadokawa Media House , Kadokawa","Discotek Media , Crunchyroll",Studio Deen,Light novel,"Adventure Adventure, Comedy Comedy, Fantasy Fantasy","Isekai Isekai, Parody Parody",,23 min. per ep.,PG-13 - Teens 13 or older,"8.10 1 (scored by 1263630 1,263,630 users) 1 indicates a weighted score .",#489 2 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#40,"1,944,249","44,819"
